id	measurementID	measurementType	measurementValue	measurementUnit	measurementMethod	measurementRemarks
IV2013111215585552	INBO:NICHE:MEAS:P:00016416	coverHerbsInPercentage	90	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111216175492	INBO:NICHE:MEAS:P:00016417	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111216330316	INBO:NICHE:MEAS:P:00016418	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111216445731	INBO:NICHE:MEAS:P:00016419	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111409215471	INBO:NICHE:MEAS:P:00016421	coverShrubsInPercentage	1	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111409215471	INBO:NICHE:MEAS:P:00016422	coverTreesInPercentage	90	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111409215471	INBO:NICHE:MEAS:P:00016423	coverHerbsInPercentage	20	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111409362211	INBO:NICHE:MEAS:P:00016425	coverHerbsInPercentage	90	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111409442725	INBO:NICHE:MEAS:P:00016427	coverHerbsInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111409572925	INBO:NICHE:MEAS:P:00016430	coverHerbsInPercentage	90	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111410070501	INBO:NICHE:MEAS:P:00016431	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111410140672	INBO:NICHE:MEAS:P:00016432	coverHerbsInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111410204722	INBO:NICHE:MEAS:P:00016433	coverHerbsInPercentage	90	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111410293453	INBO:NICHE:MEAS:P:00016436	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111410431010	INBO:NICHE:MEAS:P:00016444	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111410523117	INBO:NICHE:MEAS:P:00016447	coverMossesInPercentage	70	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111410523117	INBO:NICHE:MEAS:P:00016448	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111411054157	INBO:NICHE:MEAS:P:00016451	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111411133861	INBO:NICHE:MEAS:P:00016452	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111411265680	INBO:NICHE:MEAS:P:00016453	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111411424325	INBO:NICHE:MEAS:P:00016456	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111411542748	INBO:NICHE:MEAS:P:00016459	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111412052649	INBO:NICHE:MEAS:P:00016461	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111909171692	INBO:NICHE:MEAS:P:00016472	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111909171692	INBO:NICHE:MEAS:P:00016473	coverMossesInPercentage	70	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111909275391	INBO:NICHE:MEAS:P:00016475	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111909275391	INBO:NICHE:MEAS:P:00016476	coverMossesInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111909505989	INBO:NICHE:MEAS:P:00016478	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111910134044	INBO:NICHE:MEAS:P:00016480	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111910243512	INBO:NICHE:MEAS:P:00016482	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013112515474481	INBO:NICHE:MEAS:P:00016731	coverMossesInPercentage	30	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013112515474481	INBO:NICHE:MEAS:P:00016732	coverHerbsInPercentage	90	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110709053488	INBO:NICHE:MEAS:P:00018612	totalCoverageInPercentage	25	%	Percentage Pct-1-100	mossesIdentified:yes
IV2014022009553058	INBO:NICHE:MEAS:P:00018613	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111911195608	INBO:NICHE:MEAS:P:00018615	totalCoverageInPercentage	10	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111911394711	INBO:NICHE:MEAS:P:00018616	totalCoverageInPercentage	10	%	Percentage Pct-1-100	mossesIdentified:yes
IV2014052713551400	INBO:NICHE:MEAS:P:00020231	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2014052713551400	INBO:NICHE:MEAS:P:00020232	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2014052714094752	INBO:NICHE:MEAS:P:00020234	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2014052714094752	INBO:NICHE:MEAS:P:00020236	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2014052714415184	INBO:NICHE:MEAS:P:00020237	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2014052714415184	INBO:NICHE:MEAS:P:00020239	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2014052715061225	INBO:NICHE:MEAS:P:00020240	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2014052715061225	INBO:NICHE:MEAS:P:00020241	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
